service_id,date,exception_type
BLE-Saturday-99-RAIL-21-07-0000010-,20211106,1
BLE-Saturday-99-RAIL-21-07-0000010-,20211120,1
BLE-Saturday-99-RAIL-21-07-0000010-,20211126,1
BLE-Saturday-99-RAIL-21-07-0000010-,20211127,1
BLE-Saturday-99-RAIL-21-07-0000010-,20211204,1
BLE-Saturday-99-RAIL-21-07-0000010-,20211211,1
BLE-Saturday-99-RAIL-21-07-0000010-,20211218,1
BLE-Saturday-99-RAIL-21-07-0000010-,20211224,1
BLE-Saturday-99-RAIL-21-07-0000010-,20220101,1
BLE-Saturday-99-RAIL-21-07-0000010-,20220108,1
BLE-Saturday-99-RAIL-21-07-0000010-,20220115,1
BLE-Saturday-99-RAIL-21-07-0000010-,20220117,1
BLE-Saturday-99-RAIL-21-07-0000010-,20220122,1
BLE-Saturday-99-RAIL-21-07-0000010-,20220129,1
BLE-Saturday-99-RAIL-21-07-0000010-,20220205,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211107,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211121,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211125,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211128,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211205,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211212,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211219,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211225,1
BLE-Sunday-99-RAIL-21-07-0000001-,20211226,1
BLE-Sunday-99-RAIL-21-07-0000001-,20220102,1
BLE-Sunday-99-RAIL-21-07-0000001-,20220109,1
BLE-Sunday-99-RAIL-21-07-0000001-,20220116,1
BLE-Sunday-99-RAIL-21-07-0000001-,20220123,1
BLE-Sunday-99-RAIL-21-07-0000001-,20220130,1
BLE-Sunday-99-RAIL-21-07-0000001-,20220206,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211104,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211105,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211108,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211109,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211110,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211111,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211112,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211115,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211116,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211117,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211118,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211119,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211122,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211123,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211124,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211129,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211130,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211201,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211202,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211203,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211206,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211207,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211208,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211209,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211210,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211213,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211214,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211215,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211216,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211217,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211220,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211221,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211222,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211223,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211227,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211228,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211229,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211230,1
BLE-Weekday-99-RAIL-21-07-1111100-,20211231,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220103,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220104,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220105,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220106,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220107,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220110,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220111,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220112,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220113,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220114,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220118,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220119,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220120,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220121,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220124,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220125,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220126,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220127,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220128,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220131,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220201,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220202,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220203,1
BLE-Weekday-99-RAIL-21-07-1111100-,20220204,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211106,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211120,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211126,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211127,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211204,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211211,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211218,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211224,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20220101,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20220108,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20220115,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20220117,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20220122,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20220129,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20220205,1
CCS-TRY-Saturday-2-BUS-21-10-0000010-,20211113,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211107,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211121,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211125,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211128,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211205,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211212,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211219,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211225,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211226,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20220102,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20220109,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20220116,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20220123,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20220130,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20220206,1
CCS-TRY-Sunday-2-BUS-21-10-0000001-,20211114,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211104,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211105,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211108,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211109,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211110,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211111,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211112,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211115,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211116,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211117,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211118,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211119,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211122,1
CCS-TRY-Weekday-2-BUS-21-10-1111100-,20211123,1
