stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00001,,"7th St Station",,  35.227375, -80.838088,,,0,
00002,,"CTC Station",,  35.225336, -80.840975,,,0,place_TRANCT
00003,,"3rd/ Convention Center Station",,  35.223631, -80.843237,,,0,
00004,,"Stonewall Station",,  35.221319, -80.847066,,,0,
00005,,"Carson Station",,  35.218822, -80.850947,,,0,
00006,,"Bland Station",,  35.215787, -80.855346,,,0,
00007,,"East/ West Station",,  35.212117, -80.859140,,,0,place_E/WSTS
00008,,"New Bern Station",,  35.199887, -80.869042,,,0,
00009,,"Scaleybark Station",,  35.190842, -80.875075,,,0,
00010,,"Woodlawn Station",,  35.175789, -80.879063,,,0,
00011,,"Tyvola Station",,  35.162948, -80.877570,,,0,
00012,,"Archdale Station",,  35.152897, -80.877485,,,0,
00013,,"Arrowood Station",,  35.135606, -80.876364,,,0,
00014,,"Sharon Rd West Station",,  35.119450, -80.881962,,,0,
00015,,"I-485 Station",,  35.107087, -80.882925,,,0,
00016,,"9th Street Station",,  35.229656, -80.835022,,,0,
00021,,"9th Street Station (BusBridge-NB)",,  35.229180, -80.835609,,,0,
00022,,"9th Street Station (BudBridge- SB)",,  35.228518, -80.834514,,,0,
00023,,"7th Street Station (BusBridge- SB)",,  35.227760, -80.837640,,,0,
00024,,"Stonewall Street Station (BusBridge- SB)",,  35.221785, -80.846471,,,0,
00025,,"Bland Street Station (BusBridge- SB)",,  35.217593, -80.854765,,,0,
00040,,"12th St & Davidson St",,  35.229429, -80.829693,,,0,place_Garage
00081,,"Parkwood Station",,  35.236921, -80.823290,,,0,
00082,,"25th St Station",,  35.241703, -80.817147,,,0,
00083,,"36th St Station",,  35.249085, -80.806364,,,0,place_36thST
00084,,"Sugar Creek Station",,  35.251423, -80.792853,,,0,
00085,,"Old Concord Road Station",,  35.259934, -80.772790,,,0,
00086,,"Tom Hunter Station",,  35.277951, -80.766283,,,0,
00087,,"University City Blvd Station",,  35.286787, -80.760864,,,0,
00088,,"McCullough Station",,  35.301124, -80.752875,,,0,
00089,,"JW Clay Blvd Station",,  35.310742, -80.745189,,,0,place_JWCPNR
00090,,"UNC Charlotte Station",,  35.312136, -80.733749,,,0,
00120,,"Airport Dr & Stonewall Jackson Home Dr",,  35.204791, -80.927950,,,0,
