route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115224,"North to UNCC",0,785488,5010117
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115225,"South to I-485/S. Blvd",1,785493,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115227,"South to I-485/S. Blvd",1,785492,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115228,"South to I-485/S. Blvd",1,785491,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115229,"South to I-485/S. Blvd",1,785491,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115231,"South to I-485/S. Blvd",1,785488,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115232,"South to I-485/S. Blvd",1,785489,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115233,"South to I-485/S. Blvd",1,785490,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115234,"North to UNCC",0,785491,5010117
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115235,"North to UNCC",0,785487,5010109
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115236,"South to I-485/S. Blvd",1,785488,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115237,"North to UNCC",0,785489,5010109
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115238,"South to I-485/S. Blvd",1,785490,5010107
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115239,"North to UNCC",0,785492,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115240,"North to UNCC",0,785493,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115241,"North to UNCC",0,785490,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115242,"North to UNCC",0,785486,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115243,"North to UNCC",0,785488,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115244,"North to UNCC",0,785491,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115245,"North to UNCC",0,785487,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115246,"North to UNCC",0,785489,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115247,"North to UNCC",0,785492,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115248,"North to UNCC",0,785493,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115249,"North to UNCC",0,785490,5010108
501,BLE-Saturday-99-RAIL-21-07-0000010-,4115250,"North to UNCC",0,785486,5010108
